id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
UgwzDX9qK8ekp6fJ8Ih4AaABAg.9y5zrQmFTMQ9y9KrsXt5J1,,1,"2023-12-10 19:48:25",@silvanapereiracoutodasilva2433,"Sim é Celeste.",UCEegAkjhbym6If2mRWbGLmg,http://www.youtube.com/@silvanapereiracoutodasilva2433,1,UgwzDX9qK8ekp6fJ8Ih4AaABAg,@MissMcFarlaneRDR2
UgwzDX9qK8ekp6fJ8Ih4AaABAg.9y5zrQmFTMQ9yqn1ZKGN_M,,1,"2023-12-28 02:09:52",@lorenaojedasantodomingo7372,"Si es celeste. En un sitio lo lei",UChnrHXF85o1o58DOzjU0ngg,http://www.youtube.com/@lorenaojedasantodomingo7372,1,UgwzDX9qK8ekp6fJ8Ih4AaABAg,@MissMcFarlaneRDR2
Ugy5_QBORm2QlO4ogFl4AaABAg,0,2,"2023-12-09 11:55:32",@LindaMerchant-bq2hp,Cool😂,UCxv576mgikLTuhn9oaYKHBQ,http://www.youtube.com/@LindaMerchant-bq2hp,0,,
UgyQ6r7iRbAnkDqM8Bh4AaABAg,0,0,"2023-12-02 13:22:59",@WhiteTopBlackStar,"Santa pls put me ti your behave lits I've been good i promise. So i want a laptop for Christmas pls",UCWCeI0WbxawIH2pqe6KVPVQ,http://www.youtube.com/@WhiteTopBlackStar,0,,
Ugy-F2Pxeny-tipB7Px4AaABAg,2,1,"2023-12-02 05:16:54",@juliopizarro684,"I love piscola",UCviCTCxYYn4PvCvWlEWgnAw,http://www.youtube.com/@juliopizarro684,0,,
Ugy-F2Pxeny-tipB7Px4AaABAg.9xoAlhQ8lSR9yPCZfZx24P,,0,"2023-12-16 23:43:45",@Kapiolla27,"Appleslayer550fanalcohol (pisco) + Coca Cola",UCsCL-0owtFWpmzMvqZZBPVQ,http://www.youtube.com/@Kapiolla27,1,Ugy-F2Pxeny-tipB7Px4AaABAg,@juliopizarro684
Ugy-F2Pxeny-tipB7Px4AaABAg.9xoAlhQ8lSR9yTfUrlBSa-,,1,"2023-12-18 17:22:12",@sakuraifrlegends,"​Appleslayer550fan""piss-cola"" ☝🏼💀",UC8LIQ6O4BakqXKN5vXF2FRw,http://www.youtube.com/@sakuraifrlegends,1,Ugy-F2Pxeny-tipB7Px4AaABAg,@juliopizarro684
UgyMQfvRDUfoqA_EAY54AaABAg,2,1,"2023-12-02 05:12:28",@juliopizarro684,"who is the singer of the song the world needs more santas | coca-cole ￼ ￼",UCviCTCxYYn4PvCvWlEWgnAw,http://www.youtube.com/@juliopizarro684,0,,
UgyMQfvRDUfoqA_EAY54AaABAg.9xoAGA2JzVu9y476FrL-i8,,0,"2023-12-08 19:11:59",@marcelazrael2180,Celeste,UCEhIveRkK62u22GIV14ENlg,http://www.youtube.com/@marcelazrael2180,1,UgyMQfvRDUfoqA_EAY54AaABAg,@juliopizarro684
UgyMQfvRDUfoqA_EAY54AaABAg.9xoAGA2JzVu9y4PL2JyO3P,,0,"2023-12-08 21:51:17",@misterteemu,Celeste,UCvC7PigMfz9YnqsDW1rdV0Q,http://www.youtube.com/@misterteemu,1,UgyMQfvRDUfoqA_EAY54AaABAg,@juliopizarro684
UgxF3loPY4WKlrgyXFx4AaABAg,0,13,"2023-11-27 14:01:43",@officiallkiyoshi,"i love the song in so obsessed",UCN8a1tAqskZkq2xIlDHjqBw,http://www.youtube.com/@officiallkiyoshi,0,,
Ugxj-dXFo_CTQmLLT3N4AaABAg,0,0,"2023-11-26 03:03:59",@isabellibecudanes20,"Trying 8q",UCVse3HOToI8Qg0Zu5KUi-bA,http://www.youtube.com/@isabellibecudanes20,0,,
Ugz83b2o6YCiVZHLtTl4AaABAg,12,102,"2023-11-24 05:34:38",@gmrn3014s,"I just love coke.",UCp7zkBx6972KYPy8s1OZwGA,http://www.youtube.com/@gmrn3014s,0,,
Ugz83b2o6YCiVZHLtTl4AaABAg.9xUbRU13_rX9xWfm4sZ8ku,,24,"2023-11-25 00:51:01",@jonelbondyingnuezca742,"Coke with cocaine is awesome.",UCU_vBjXjBvRrKw35IU3uIWA,http://www.youtube.com/@jonelbondyingnuezca742,1,Ugz83b2o6YCiVZHLtTl4AaABAg,@gmrn3014s
Ugz83b2o6YCiVZHLtTl4AaABAg.9xUbRU13_rX9yFwnO2MEgw,,6,"2023-12-13 09:24:02",@francisjoyarbutante5649,"​Appleslayer550fancoke is good bro",UCSitETIpFDe-s9SNfcnDMrg,http://www.youtube.com/@francisjoyarbutante5649,1,Ugz83b2o6YCiVZHLtTl4AaABAg,@gmrn3014s
Ugz83b2o6YCiVZHLtTl4AaABAg.9xUbRU13_rX9yLSRisyvhL,,2,"2023-12-15 12:45:30",@wolfy8512,"Appleslayer550fanit used to be an ingredient",UCS4Vo3Yt8rdftJ82fsI5Ewg,http://www.youtube.com/@wolfy8512,1,Ugz83b2o6YCiVZHLtTl4AaABAg,@gmrn3014s
Ugz83b2o6YCiVZHLtTl4AaABAg.9xUbRU13_rX9yPAWnL2f4X,,0,"2023-12-16 23:25:53",@Orangekid_Extras,"​@wolfy8512 but not anymore",UC2OG3QhAvLStqMCrknN8mVw,http://www.youtube.com/@Orangekid_Extras,1,Ugz83b2o6YCiVZHLtTl4AaABAg,@gmrn3014s
Ugz83b2o6YCiVZHLtTl4AaABAg.9xUbRU13_rX9yPKSJeY4vZ,,0,"2023-12-17 00:52:39",@mireyazariellepancito,ok😢​@francisjoyarbutante5649g😮😮p,UCdU6ix_Cf1FSvAZHvyaJIqQ,http://www.youtube.com/@mireyazariellepancito,1,Ugz83b2o6YCiVZHLtTl4AaABAg,@gmrn3014s
